_id,paymentID,studentID,courseID,amount,status
671e536c81492f9aaa0e96dd,301,201,1,50,Completed
671e536c81492f9aaa0e96de,302,202,2,75,Completed
671e536c81492f9aaa0e96e1,305,205,5,90,Completed
671e536c81492f9aaa0e96e2,306,206,6,70,Completed
671e536c81492f9aaa0e96e3,307,207,7,85,Completed
671e536c81492f9aaa0e96e6,310,210,10,80,Completed
671e536c81492f9aaa0e96e7,311,211,11,200,Completed
671e536c81492f9aaa0e96ea,314,214,14,40,Completed
671e536c81492f9aaa0e96eb,315,215,15,55,Completed
671e64563d57691847e9417d,317,215,15,90,Completed
